S0,P,APE,kappa,runtime,K,dt
100,10000,0.0193323,1.99853e+15,0.207895,110,0.0005
100,10000,0.135186,2.14224e+15,0.221836,110,0.0005
100,10000,0.052461,2.12587e+15,0.206834,110,0.0005
100,10000,0.0101771,2.0365e+15,0.212975,110,0.0005
100,10000,0.0729045,2.10494e+15,0.207549,110,0.0005
100,10000,0.0362672,1.99959e+15,0.206853,110,0.0005
100,10000,0.0375334,2.03596e+15,0.207825,110,0.0005
100,10000,0.194245,2.10496e+15,0.207172,110,0.0005
100,10000,0.0122659,2.13013e+15,0.206696,110,0.0005
100,10000,0.0295231,2.12286e+15,0.205584,110,0.0005
100,10000,0.263301,2.12237e+15,0.20781,110,0.0005
100,10000,0.016388,1.99967e+15,0.226655,110,0.0005
100,10000,0.00130625,2.09214e+15,0.208584,110,0.0005
100,10000,0.0614166,1.95055e+15,0.206671,110,0.0005
100,10000,0.215527,2.0008e+15,0.207956,110,0.0005
100,10000,0.088246,2.01111e+15,0.206658,110,0.0005
100,10000,0.151273,2.11309e+15,0.209141,110,0.0005
100,10000,0.0138331,2.06261e+15,0.208864,110,0.0005
100,10000,0.110988,2.12582e+15,0.218885,110,0.0005
100,10000,0.00416107,2.12405e+15,0.206874,110,0.0005
100,10000,0.128336,2.00578e+15,0.208685,110,0.0005
100,10000,0.0390118,2.05545e+15,0.20771,110,0.0005
100,10000,0.0204952,2.06713e+15,0.207567,110,0.0005
100,10000,0.022434,2.09052e+15,0.207732,110,0.0005
100,10000,0.204823,1.99486e+15,0.208401,110,0.0005
100,10000,0.0584615,2.06777e+15,0.208442,110,0.0005
100,10000,0.020878,2.16433e+15,0.207457,110,0.0005
100,10000,0.184933,2.00479e+15,0.209341,110,0.0005
100,10000,0.0314649,2.09099e+15,0.207385,110,0.0005
100,10000,0.252797,2.09091e+15,0.207227,110,0.0005
100,10000,0.0493848,2.05563e+15,0.207149,110,0.0005
100,10000,0.0118024,2.1274e+15,0.20749,110,0.0005
100,10000,0.0902287,2.06434e+15,0.221325,110,0.0005
100,10000,0.0176566,2.13127e+15,0.207083,110,0.0005
100,10000,0.107209,2.21741e+15,0.207433,110,0.0005
100,10000,0.0447343,2.01296e+15,0.208432,110,0.0005
100,10000,0.164559,2.0548e+15,0.207281,110,0.0005
100,10000,0.0550814,2.10913e+15,0.207464,110,0.0005
100,10000,0.0379365,2.02637e+15,0.207347,110,0.0005
100,10000,0.0546098,2.07392e+15,0.212966,110,0.0005
100,10000,0.796733,2.09844e+15,0.195833,105,0.0005
100,10000,0.0252017,2.04238e+15,0.195856,105,0.0005
100,10000,0.807337,2.08496e+15,0.212753,105,0.0005
100,10000,0.221892,2.0685e+15,0.197147,105,0.0005
100,10000,0.0861593,2.08445e+15,0.197823,105,0.0005
